team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Quaranteam,8,Emmanuel Sanders,WR,Buf,WR,Questionable,Knee,406.p.24057,2022-01-02,2.0
Quaranteam,9,Emmanuel Sanders,WR,Buf,WR,Questionable,Knee,406.p.24057,2022-01-02,2.0
Quaranteam,10,Emmanuel Sanders,WR,Buf,WR,Questionable,Knee,406.p.24057,2022-01-02,2.0
Quaranteam,11,Emmanuel Sanders,WR,Buf,WR,Out,Knee,406.p.24057,2022-01-02,4.0
Quaranteam,12,Emmanuel Sanders,WR,Buf,WR,Out,Knee,406.p.24057,2022-01-02,4.0
Quaranteam,13,Emmanuel Sanders,WR,Buf,WR,Out,Knee,406.p.24057,2022-01-02,4.0
Quaranteam,14,Emmanuel Sanders,WR,Buf,BN,Out,Knee,406.p.24057,2022-01-02,4.0
Quaranteam,1,Antonio Brown,WR,TB,W/R/T,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,2,Antonio Brown,WR,TB,W/R/T,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,3,Antonio Brown,WR,TB,BN,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,4,Antonio Brown,WR,TB,W/R/T,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,5,Antonio Brown,WR,TB,WR,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,6,Antonio Brown,WR,TB,WR,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,7,Antonio Brown,WR,TB,BN,Questionable,Ankle,406.p.24171,2022-01-01,2.0
Quaranteam,8,Antonio Brown,WR,TB,BN,Questionable,Ankle,406.p.24171,2022-01-02,2.0
Quaranteam,9,Antonio Brown,WR,TB,BN,Questionable,Ankle,406.p.24171,2022-01-02,2.0
Quaranteam,10,Antonio Brown,WR,TB,BN,Questionable,Ankle,406.p.24171,2022-01-02,2.0
Zeke Virus,1,Julio Jones,WR,Ten,W/R/T,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,2,Julio Jones,WR,Ten,W/R/T,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,3,Julio Jones,WR,Ten,W/R/T,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,4,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,5,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,6,Julio Jones,WR,Ten,W/R/T,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,7,Julio Jones,WR,Ten,W/R/T,Out,COVID-19,406.p.24793,2022-01-01,4.0
Zeke Virus,8,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,9,Julio Jones,WR,Ten,WR,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,10,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,11,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,12,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,13,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,14,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,15,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
Zeke Virus,16,Julio Jones,WR,Ten,BN,Out,COVID-19,406.p.24793,2022-01-02,4.0
3HeadedATK,11,Mark Ingram II,RB,NO,RB,Questionable,Knee,406.p.24815,2022-01-02,2.0
3HeadedATK,12,Mark Ingram II,RB,NO,RB,Questionable,Knee,406.p.24815,2022-01-02,2.0
3HeadedATK,13,Mark Ingram II,RB,NO,BN,Questionable,Knee,406.p.24815,2022-01-02,2.0
3HeadedATK,14,Mark Ingram II,RB,NO,BN,Questionable,Knee,406.p.24815,2022-01-02,2.0
3HeadedATK,15,Mark Ingram II,RB,NO,BN,Out,Knee,406.p.24815,2022-01-02,4.0
3HeadedATK,16,Mark Ingram II,RB,NO,BN,Out,Knee,406.p.24815,2022-01-02,4.0
3HeadedATK,17,Mark Ingram II,RB,NO,BN,Out,Knee,406.p.24815,2022-01-03,4.0
Didondada,10,Kirk Cousins,QB,Min,QB,Out,COVID-19,406.p.25812,2022-01-02,4.0
Quaranteam,13,Kirk Cousins,QB,Min,BN,Out,COVID-19,406.p.25812,2022-01-02,4.0
Zeke Virus,1,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,2,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,3,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,4,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,5,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,6,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,7,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-01,5.0
Zeke Virus,8,DeAndre Hopkins,WR,Ari,WR,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,9,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,10,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,11,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,12,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,13,DeAndre Hopkins,WR,Ari,W/R/T,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,14,DeAndre Hopkins,WR,Ari,W/R/T,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
Zeke Virus,15,DeAndre Hopkins,WR,Ari,BN,Injured Reserve,Knee,406.p.26650,2022-01-02,5.0
