team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
2 Gurleys 1 Kupp,2,Keenan Allen,WR,LAC,IR,Out,Hamstring,414.p.26699,2022-09-18,4.0
2 Gurleys 1 Kupp,3,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-09-26,4.0
2 Gurleys 1 Kupp,4,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-10-03,4.0
2 Gurleys 1 Kupp,5,Keenan Allen,WR,LAC,IR,Out,Hamstring,414.p.26699,2022-10-10,4.0
2 Gurleys 1 Kupp,6,Keenan Allen,WR,LAC,BN,Out,Hamstring,414.p.26699,2022-10-18,4.0
Christopher's Perfect Team,2,Mike Evans,WR,TB,WR,Suspended,Disciplinary,414.p.27535,2022-09-21,
Christopher's Perfect Team,3,Mike Evans,WR,TB,BN,Suspended,Disciplinary,414.p.27535,2022-09-26,
Christopher's Perfect Team,1,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-14,
Christopher's Perfect Team,2,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-21,
Christopher's Perfect Team,3,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-09-28,
Christopher's Perfect Team,4,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-05,
Christopher's Perfect Team,5,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-12,
Christopher's Perfect Team,6,Odell Beckham Jr.,WR,LAR,BN,Inactive: Coach's Decision or Not on Roster,,414.p.27540,2022-10-19,
Christopher's Perfect Team,5,Teddy Bridgewater,QB,Mia,QB,Questionable,Head,414.p.27560,2022-10-12,2.0
Christopher's Perfect Team,6,Teddy Bridgewater,QB,Mia,BN,Questionable,Head,414.p.27560,2022-10-15,2.0
Toney! Toni! Toné!,5,Damien Williams,RB,Atl,IR,Injured Reserve,Ribs,414.p.28115,2022-10-12,5.0
Toney! Toni! Toné!,6,Damien Williams,RB,Atl,IR,Injured Reserve,Ribs,414.p.28115,2022-10-19,5.0
Lil Uzi Hurts,2,Jameis Winston,QB,NO,QB,Questionable,Back,414.p.28389,2022-09-17,2.0
Lil Uzi Hurts,3,Jameis Winston,QB,NO,BN,Questionable,Back,414.p.28389,2022-09-28,2.0
Lil Uzi Hurts,4,Jameis Winston,QB,NO,BN,Out,Back,414.p.28389,2022-10-03,4.0
Lil Uzi Hurts,5,Jameis Winston,QB,NO,BN,Out,Back,414.p.28389,2022-10-10,4.0
Lil Uzi Hurts,6,Jameis Winston,QB,NO,BN,Questionable,Back,414.p.28389,2022-10-19,2.0
2 Gurleys 1 Kupp,4,Melvin Gordon III,RB,Den,W/R/T,Questionable,Neck,414.p.28403,2022-10-05,2.0
